Timestamp,country,age,Did you ever had a dog?,What is your education due to the dog's behavior?,Do you think that is shown in this video?,What makes a dog in this video?,What happens to the dog?,dog beieves its real,"On a scale of 1 to 5 vote, how useful do you think happens to the dog? (1 - bad, 5 - useful)",,,
05.11.2016 10:32:22,Russia,64goda,Yes,dog Owner,The dog is looking at something. shown that the tablet,responsive to frames,She became interested in responding to the video,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 10:45:10,Ukraine,44,Yes,dog Owner,"dog, get interested in a luminous point",He is trying to catch a bright spot,"It is friendly, interested, puzzled looks at relieving this video",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 11:35:51,Russia,36,Yes,dog Owner,"tablet, dog",plays,she was interested,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 11:51:12,Russia,thirty,Yes,dog Owner,Dog tries to play with iPads,"Trying to catch the ball, which appears and disappears on the screen aypada","The dog seems like a real ball, she wants to catch him in the end leaves.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 11:53:55,Russia,28,Yes,"officer / instructor in KC, dog owner",Dog care ball on a plate,He plays with the ball,enjoys the game,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 12:11:03,Ukraine,26,There is now.,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog Interacting with a new toy.,"Dog tries to catch a circle. Playing quietly enough, with interest, but without unnecessary overstimulation. At the end of the game is very easy finishes.","It is concerned, but the level of excitation becomes unnecessary. I think she realized that it was some kind of a new game, and finally just decided to escape to something else, because after lengthy attempts result (caught circles) still was not.",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 12:34:24,Latvia,47,Yes,The expert / professional,dog interaction with electronic toy,Playing in the hunt,"Trying to catch the ""bunny"" because neither of which is impossible, it loses interest and leaves.",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 13:32:24,Russia,27,Yes,The expert / professional,dog Recreation & Activities,He is trying to get a bright spot,#NAME?,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!
05.11.2016 13:38:25,Russia,46,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)", Demonstration of electronic games for dogs.,Dog plays.,"Something similar to the games with a laser pointer. I do not recommend, because you can dogs perevozbudilsya NA.",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 13:44:24,Russia,37,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","A dog who tries to catch the paw ""sunbeam""",He is trying to catch the light paw,"She did not manage to catch the light, she was bored and she goes",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 13:47:50,Russia,31,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog tries to catch the moving point, which sees on the screen. She does not understand that this is not the real point.",He is trying to catch a moving point,"The dog is excited, and trying to apply it all the known techniques to produce a moving point",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 13:48:28,Russia,25,Yes,beginner,As a dog playing on the tablet,Dog running around trying to catch a mouse,She does not understand why you can not catch a moving object,#VALUE!,#VALUE!,1,#VALUE!,1
05.11.2016 13:56:12,Russia,27,Yes,The expert / professional,The electronic version of the laser pointer.,Trying to catch a moving point of light.,"Dog included in the game, overexcited, she wonders why she can not get the point.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 14:00:23,Israel,27,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing,He is trying to catch the laser / point on the tablet,"it intresno, wags its tail",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 14:09:19,Russia,50,10 dogs,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays with the image on the tablet (hard to see),He is trying to catch the image of a paw,the dog is excited and scared,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 14:17:56,Russia,19,Yes,The expert / professional,Dog playing,Playing,Excitation,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 14:18:56,Ukraine,28,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Videos are very small in size and hard to see. It dog playing a game on the tablet,Dog tries to catch the teeth and claws the ball,"Dog interested ""prey"", inquisitive, body tense, sometimes bounces off the object of ""hunting""",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 14:21:07,Russia,41,Yes,The expert / professional,"Dog playing the game on the tablet, it is possible to test a special program for dogs",Hunts spider)),She realizes vidotipichnoe behavior gets intelligent load,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 14:36:02,Russia,35,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing the game on the tablet,Catches luminous spot,"Easy excitement, interest",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 14:40:33,Russia,27,"American Cocker Spaniel (since childhood), Now Labrador Yanchik))","For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog plays, trying to catch a mouse","It follows very closely the movements of the mouse on the screen, is actively trying to catch her",Dog takes gameplay,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 14:59:14,Russia,36,Yes,dog Owner,dog Game,Running around trying to catch a picture,interested in playing,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 14:59:15,Russia,32,Yes,dog Owner,Dog playing with some sort of electronic device,Playing,Dog interesting,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 15:05:16,Russia,29,Yes,dog Owner,"A dog who is trying to understand what she sees on the screen, catch, sniff",See above,I do not know,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 15:13:47,Russia,49,Yes,dog Owner,Dog tries to catch a luminous object on the tablet,Scratching paws on the tablet,She is interested in moving pictures,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 15:17:41,Belarus,31,Yes,dog Owner,dog playing,He is trying to catch a bright spot on iPads,dog interested and keen,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 15:33:57,Russia,26,Yes,dog Owner,the dog's reaction to moving object,He tries to get the thing,He is playing like a cat with a fanatic and does not understand why he could not get,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 16:24:39,Russia,37,Yes,dog Owner,The dog sees and reacts to sound and picture on the plate,The dog sees and reacts to sound and picture on the plate,interested in what is happening,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 16:39:05,Russia,32,Yes,dog Owner,Dog playing electronic device,plays,Dog tries to get the ball out of play,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 16:54:15,Russia,39,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",toy for cats and dogs,ball rolls,plays,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 17:05:40,Russia,43,there is,Owner + Workshops + reading various articles,"Dog tries to catch the plate ""Bunny"" (trace of a laser pointer or flashlight)","He tries to touch his paw to electronic ""bunny""",I think the confusion and disappointment of the incompleteness of action - can never catch a purpose,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 17:14:39,Latvia,40,Yes there is,"And reading the literature, and the dog owner",The video shows a dog trying to catch on the tablet screen bright spot,dog playing,"dog passionate about a new game, a bit afraid",#VALUE!,#VALUE!,1,#VALUE!,1
05.11.2016 17:28:37,Russia,37,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Harassment over the dog.,Dog tries to play with the light point.,"He tries to get the item, can not do so, disappointed, leaves.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 18:31:40,Israel,52,always,dog Owner,hunting dog,He is trying to grasp a moving object,keen process,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 18:52:53,Russia,37,Yes,The expert / professional,The point of the light beam,Trying to catch the point,She plays,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 19:18:20,Russia,42,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing ball in the plate,plays,it moves,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 21:04:24,Russia,46,Yes,dog Owner,playing with a dog on the development of,It focuses on the light beam .... that slides across the screen,Dog tries to catch a ray,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 21:23:11,Ukraine,52,there is now,dog Owner,dog playing,trying to catch the ball (item),I can not answer,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 21:40:25,Ukraine,40,Yes I have a dog,The expert / professional,dog's interest in the subject,"At first glance the dog action can be called a game, she catches (hunting), simulating the movement of digging / excavation, trying to grab his teeth","The behavior of the dog I see the interest, even drive, arousal.",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.11.2016 21:56:22,Ukraine,thirty,Yes,dog Owner,"Dog playing with a tablet, apparently, it must somehow move the ball on the screen","Dog tries to catch and play with the ball. the same behavior is observed when manipulating small real objects (for example, entrapment, but the remnants of a fly or beetle)","she is interested, but by the end of the video to lose interest in what can not understand its mission and purpose",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.11.2016 21:56:48,Russia,44,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog ""hunts"" to ""bunny""",Implements genetically caused hunting behavior,"Trying to ""catch"", ""bunny"" like a mouse.",#VALUE!,1,#VALUE!,1,#VALUE!
05.11.2016 22:35:13,Latvia,45,Yes,dog Owner,Playing dog,He is trying to understand what's going on,Rassterena,#VALUE!,#VALUE!,1,#VALUE!,1
05.11.2016 23:13:44,Russia,55,There were many dogs since childhood. This hour I have them 3.,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Game Host,destroys tablet,"I think the dog is confused. It is quite interesting, but she does not understand the meaning of what is happening.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,1
05.11.2016 23:14:06,Russia,41,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog tries to get moving point, the sound is not quite clear",He is trying to get a moving object,hunting dog,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!
05.11.2016 23:54:18,Israel,55,"There was, and still is",dog Owner,A game,He is trying to get a spot,She is keen then departs.,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/12/2016 1:13,Russia,29,Yes,dog Owner,Yorkshire terrier hunting for a circle in a special supplement for cats,hunting,it is keen,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!
5/12/2016 7:56,Russia,21,Yes,The expert / professional,Dog primitive thinking,He is trying to get something that does not see and does not feel,Violation of the natural instinct of smell,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/12/2016 8:46,Israel,45,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","dog's desire to play with the subject on the screen ...
",It reacts to the movement of the ball on the screen.,"the desire to catch the ball, which then disappears.",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 10:15:56,Russia,28,Yes,The expert / professional,"""Game"" for dogs on gadget","digging paws point that moves randomly and without any apparent purpose (such a game would make sense if the point had to drive the legs / nose in the ""gate"" and host of the award is given)","she is trying to understand why the object does not work as expected (do not pick out, does not move along the path paw strike)",1,1,#VALUE!,#VALUE!,#VALUE!
05.12.2016 12:06:00,Israel,54,Always,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",What Dog playing,Playing,she was fun,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 14:29:06,Belarus,31,Now there is a dog,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with tablet,"He is trying to catch a point on the tablet to play with it, look under the plate, thinking that she hid there","the dog is excited, wags his tail, interested",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 14:59:18,Ukraine,50,No,Love to the animals,The owners came up activity for your dog.,Catches moving object.,I think it fun.,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.12.2016 15:28:00,Russia,26,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog hunting for a running point on the screen,"He is trying to get a ""mouse""",Dog catches the point and does not understand why she can not take it,1,#VALUE!,#VALUE!,1,#VALUE!
05.12.2016 16:25:01,Russia,45 years,"Yes, 5-6 dogs",dog Owner,Take the white point,He is trying to catch her,She was tired of trying,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.12.2016 16:54:35,Russia,49,there is,dog Owner,"fun owner and dog (ie, the tail plays host - having fun)",He is trying to catch the light,working dog,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.12.2016 18:19:30,Russia,20,Yes,dog Owner,A game,He tries to get the ball,crazy,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 18:24:50,Russia,17,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","The video shows how a dog with zainterisovannostyu ""hunts"" for the subject, a pop-up screen on the tablet","perplexed, trying to seize the ""prey""",she is interested,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.12.2016 18:32:20,Russia,29,Yes,dog Owner,a game,catching item on the screen,"it fun, interesting",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 18:32:34,Russia,41,Yes,dog Owner,Tablet and yorik,Tries paw knock over a point on the screen,Plant plays,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.12.2016 18:32:47,Russia,22,We have 3 dogs,dog Owner,dog interaction with the tablet,keen on playing in the plate,the dog is busy playing,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 18:42:59,Russia,59,there is,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",screen running game with a ball,"Dog tries to catch the ball, which sees on the screen","First, it is actively trying to get a toy, then, probably, the ball disappeared, and the dog lost interest in the game",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.12.2016 18:47:51,Russia,20 years,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",On the screen of the tablet moves the target and playing with her dog,Trying to catch the target,She looks concerned and taking more and more attempts.,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.12.2016 18:51:59,Belarus,42,Yes,dog Owner,Dog playing with a dot on the screen,Playing,She is interested,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 19:05:06,Russia,34,Yes,dog Owner,dog playing a game on the tablet,catches some luminous point,she plays,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 19:31:09,Belarus,26,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The dog thinks that beam real,Playing (hunting),Raised,1,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 20:06:08,Russia,19,Yes,dog Owner,A game,Playing,Interest,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 20:17:35,Russia,22,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",the dog's reaction to the game on the tablet,It reacts to a nonexistent ball,The dog is interested in the game,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 20:39:16,UKRAINE,47r,Je infections 3,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with sunbeams,foot he is trying to get a moving circle,Iraheta dog and wants to get the circle,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 20:48:40,Russia,23,Yes,dog Owner,"In the video, Yorkshire terrier playing in the app on the tablet, imitating sunbeams.","Dog tries every possible way to catch a sunbeam, engages with the paws and tongue.",She is passionate about the game,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 20:48:55,Russia,40,Yes,dog Owner,Dog and tablet computer on the floor,Dog tries to catch the moving object on the tablet screen.,Playing,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 20:54:22,Russia,13,Yes,dog Owner,The game and the dog,Playing,She delighted,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 21:00:15,LC,16,no,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Game Dog with a tablet,Trying to get the point of a paw or grab teeth,Dog emotionally excited,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 21:14:25,Russia,34,Yes,dog Owner,Dog tries to catch a moving point on the tablet screen,Playing,Dog excited,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 21:40:42,Russia,18,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog exploring the new object, and how to interact with him, trying to play.","Affected paw, the nose of the moving point, trying to dig it, look under the plate bounces at sharp movements point","She is interested, but a little afraid for her sudden movement point. Excited, but not too much, and in the end she stops playing session, relaxed",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.12.2016 21:45:12,Russia,14 years,Yes there is,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",This video shows a dog in the tablet game.,"Dog paw crawl across the screen, trying to play some kind of game.","The dog is excited by this ""fun"" and it is even more enthusiasm",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
05.12.2016 22:37:05,Ukraine,41,Yes,dog Owner,dog trying to understand what kind of crap,catches the ball on a plate,"excited, then loses interest",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
05.12.2016 23:35:46,Russia,36 years,Yes,The expert / professional,A game,Dog catches a moving image on the screen,slight excitement,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/13/2016 0:28,Republic of Belarus,23,Yes,dog Owner,play dog,Playing,She plays her fun,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/13/2016 5:14,Russia,60,Yes,dog Owner,Dog plays with the light spot on the tablet. The ability to take a dog home is watching TV,Playing with light speck moving in the plate,capture,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/13/2016 9:29,Russia,32,there are many,The expert / professional,Dog plays with the moving object on the tablet screen,"plays, hunts for a moving point","the dog is excited, plays",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/13/2016 9:32,Israel,55,Yes,dog Owner,"The dog is looking for interested ball, he wants to play",Like a dog. plays,"studying, looking, wants to understand where there is a ball or even refused to be of help ....",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/13/2016 9:50,Russia,24,Yes,Child vet and handler,Interested dog,Trying to catch the point,She confused,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/13/2016 12:29,Russia,22,there is,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",game on the tablet,Dog tries to catch a moving object,"she is interested, she does not understand what's going on",1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/13/2016 13:27,RF,25,Yes,dog Owner,"The application for type ""runs a small animal""",Tried to touch a running point or just to make a point to move,new information,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/13/2016 13:42,Russia,20,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dogs playing on tablet computer,Trying to catch a moving object in the screen,It takes interest in,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/13/2016 14:56,Russia,59,Yes,beginner,Curiosity,"Playing, catches a ray",she is interested,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/13/2016 15:39,Russia,28,and now have,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dogs in response to movement of the plate,"He is trying to move the ball, when he stops, trying to take it in his mouth.",dog happy happening,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/13/2016 17:17,Russia,33,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The video shows the situation (and dog playing and trying to get a point of light on the tablet),"Dog tries various ways to solve the problem. Dog digs, puts his paw on top of the glowing element and looks at times on the host ischya him feedback.","Dog shows a clear interest, but ultimately leaves the undertaking.",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/13/2016 20:05,Russia,'52,I now have two dogs,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Playing with the dog, ""sunbeam"", produced by the tablet.",enthusiastically playing,"Dog keen, excited, focused on the stimulus. However, the host responds to the call. Then again returned to the game with the tablet.",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/13/2016 21:46,Israel,51,I have a dog,nursery,a game,He is trying to catch the light bulb,Dog tries to understand the rules of the game,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/13/2016 22:35,Ukraine,28," As a child, was a Rottweiler bitch now male German Shepherd","For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog scratching the plate, trying to understand what is happening.","Hunt the white spots. It seems like my dog ??with beetles ""Game"": trying to turn over, to get moving, loosening around beetle ground beetle accurately capturing nerazdavlivaya but so that he could continue to be interesting to run along the ground; It ends with the beetle that either crush or eat, sometimes just leave alone. In the video, the behavior is similar, but in contrast to hunting beetles dog for a long time do not lose interest and much more dynamic tries to ""bug"" from scratch plate. The dog quickly learned pattern as scratching and where to flyspeck move.","The dog is very focused on the ""game"", excited, energetic. Actively trying to get white tochechku- catch, lick, eat, flatten, scratch. Quickly grasps what to flyspeck rolled out from the outside of the screen, you need to scrape the plate, not on the ground and on the side where it set, but still expects that the ball rolled out or jump out at her, not the sunset for the redistribution of visibility . Dots disappears dog quickly switched to something else",#VALUE!,1,#VALUE!,#VALUE!,#VALUE!
5/13/2016 22:41,Russia,23,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Hunting dog on a virtual bug (but the dog does not understand that this is just an image),Trying to catch the bug,"The dog sees a moving creature on the screen (a fly, beetle or something like that), he wants to catch him, because it perceives his real object",1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/13/2016 22:57,Russia,22,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Trying to catch a non-existent object,Catches and digging,Disappointing and loses interest,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/14/2016 0:09,Russia,49,2,dog Owner,Dog playing,Trying to catch a mouse,capture,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/14/2016 2:50,Russia,21,Yes,The expert / professional,"Dog playing with a tablet. More specifically, interest in cooperation. Unfortunately, I did not understand whether the application responds / sensor on the dog's touch.",Attempts to communicate plays.,"Dog excited and interested. She tries to offer a behavior that it will, in cooperation with interested her subject.",#VALUE!,#VALUE!,1,#VALUE!,#VALUE!
5/14/2016 3:17,Russia,17,There is now,dog Owner,"Dog, tablet",Playing ball on a plate,She is surprised by where the ball is taken,1,#VALUE!,1,#VALUE!,#VALUE!
5/14/2016 9:35,Russia,38,Yes,The expert / professional,Boss watches funny dog ??playing with a laser Mishnah on the tablet screen,"Dog tries to understand it, sniffing, trying to touch the paw","The dog is under stress. She does not understand what kind of object that moves, attracted her attention. 'Runs' and behaves, in fact, as 'production'. But no smell and it can not touch. These 'games' end with hysterical barking, neuroses. The point of time. It all depends on the breed, the dog and regularly temperampnta such entertainment.",1,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/14/2016 9:51,Israel,34,Yes,dog Owner,Ostensibly for the dog game on the tablet,He is trying to catch something ...,"I do not understand where does that, and most importantly, where it then disappears. I think that this game does not teach a dog anything. But it looks funny)))",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
5/14/2016 16:56,Russia,41,Yes,dog Owner,A game,Playing,She likes,#VALUE!,4,You can not take a dog only such games,Interest,5
5/14/2016 23:06,Russia,34,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays with the tablet,Playing,"Interested, keen",#VALUE!,3,"I think that is not bad, but there is no special benefits","Interest, curiosity",4
5/14/2016 23:56,Russia,45,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Interest dog toy,Playing,She's busy,#VALUE!,3,Just I do not know whether it is useful,Interest,4
5/15/2016 3:39,Russia,17 years,And there,dog Owner,"""Playing"" with the tablet","That frightened, wants to take what there flies","Passionate about the game, but without getting something with which she plays, she loses interest",#VALUE!,3,"I believe that it is clearly not useful, but not so bad",Interest,3
5/15/2016 4:50,Russia,54,Yes,dog Owner,"tablet with electronic bunny. Wallpaper ""Wallpaper"" imitating the floor and light point","plays, trying to catch the bunny","In pevye minutes behaves cautiously, then actively begins to catch plays, and then the active movements paws trying to catch and irritated",#VALUE!,3,such games must take place under the supervision of mandatory and must be interrupted at the slightest sign of irritation,"fear, interest, fatigue",1
5/15/2016 10:23,Israel,39,there is,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",York plays iPads in cat game,"Responds to the ball: it is trying to catch him, to move, then it bounces when moving it. Those. she sees it as a real-life, not as a picture. Once looking at the owner / operator. At the end leaves.","First attempts to ""explain"" the ball, game-hunting behavior. At some point play tired.",#VALUE!,3,"Do not believe that electronic games are harmful, on the other hand specifically this game in my opinion do not develop, and the real ball over sensations.",moderate excitement,4
5/15/2016 13:16,Belarus,40,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing,trying to catch a moving dot on the screen,she is interested,#VALUE!,3,the game is not the final result,"the dog was initially interested, but did not get a specific result (do not get it ""extraction""), left ""disappointed.""",3
5/15/2016 17:52,Russia,41,There was and there is now 2,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","My little dog playing in these toys))) it is simply a maniac gadzhitov! This is a game for cats, such as a laser pointer.",Catches of the laser light spot.,She hunts)),#VALUE!,3,"I think it's not quite useful, as osobaka potnature hunter. And it is in any event to catch prey. And in these games is not an option.","I do not know what it feels this dog, but my playing this toy nachiaet go crazy)) is overexcited! And calm down then it is very difficult!",3
5/15/2016 18:14,Russia,27,Yes,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",the modern game Modern dogs,plays with virtual reality,"she does not understand that it is played, but it is keen",#VALUE!,2,"it does not develop physically, emotionally communicates with anyone. You can call this process - sticking.","deceit, deception interesting",2
5/15/2016 21:21,Russia,36,Yes,The expert / professional,playing behavior,Catches sunbeams.,Overexcitation.,#VALUE!,1,"Because no opportunity to meet before the end of the hunting behavior (poympt prey, take it to a private place). The dog behavior problems arise.",Frustration.,3
5/15/2016 22:39,Russia,26,Yes,Vet,"The dog responds to the moving object, the same reaction would have been, if only razdrozhitel rrosto was on the floor.",Trying to catch the razdrozhitel,The dog comes to excitement,#VALUE!,2,"This causes razdrozhitel usobaki nervous condition, the dog arrives in Stresa",Excitation,3
5/16/2016 1:05,USA,31,Yes,dog Owner,Dog tries to play a moving point on the tablet,"Dog tries to catch a moving point, as some animals react to a laser pointer",She fixate on a point which can not catch,#VALUE!,2,I'm such a behavior similar to the behavior in the Loop pointer animals,"Stress, obsession",3
5/16/2016 1:37,Ukraine,25,"""Their"" - not. but in the family - yes",basic zoopsychology,It shows how to tease the dog,disconsolately trying to deal with the stimulus,"Dog keen but nervous, trying to ""catch"" the ball",#VALUE!,2,"do not think that one / several such episodes can disrupt emotional dog organization, lead to disaster (so no 1). but by itself I see happening pampering. process having no meaning. unless perverse satisfaction from the authorities over the dog. but because unacceptable.","anger, confusion, frustration",2
5/16/2016 8:01,Russia,26,no,beginner,Dog tries to catch some thing on the plate,plays,her little scary,#VALUE!,3,nothing useful for the dog I saw little interest for dogs,interest was fear,5
5/16/2016 8:07,Russia,36,Yes,The expert / professional,"The plate on which the moving figure, and a dog who tries to touch the figure paw and teeth","Trying to touch the figure paw and teeth, and then looks at the man who shoots video.",She does not understand that this,#VALUE!,2,"Uses can not see, but I assume that this behavior can evolve into something less innocuous.",slight bewilderment,3
5/16/2016 9:50,Ukraine,31,Yes,dog Owner,dog playing,plays: trying to catch the light circle,dog clearly keen,#VALUE!,4,"usefulness in terms of acquiring skill or knowledge of the dog is minimal. but - she plays and she is interested in - ie, as entertainment, it is useful.","interest, excitement. but I do not know if it (because you can not catch) happy.",4
