country,Your age:,What is your education due to the dog's behavior?,Do you think that is shown in this video?,What makes a dog in this video?,What happens to the dog?,What makes a dog in this video?,What a dog feels on this video?,"Evaluate how its positive emotion on a scale of 1 to 5? (1-negative, 5 - positive)",Why did you put it this rating?,"Is there a difference between these two video and, if so, what is it?",Please write here any comments / opinion on animals interacting with tablet computers and their potential benefits / impact on the behavior of the dog:
RF,28,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",The dog interacts with the tablet,Hunt on toy,Overexcited.,,Dissatisfaction,1,Do not leave a dog in such emotions,First dog stressoustoyychivaya more and less excitable. Second sbake svsem bad with such irushkoy :(,It looks like a direct path to nervosa ...
Russia,26,dog Owner,Dog Familiarity with technology. On the tablet installed the game (there are similar for cats),Trying to catch a moving object.,"Curiosity game element is ultimately likely dissatisfaction of the process, as catch and fix saoyu victory will not work.",,passion,2,It is not like a shining dog,"In dogs, the second video unhealthy interest in the game, overload","There are helpful factors: my dog ​​watching movies, cartoons. His emotional outbursts occur, but within the framework of good emotions.
 Cat like electronic mice, but quickly bored. Do not watch TV"
Serbia,41,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog tries to play with the subject in a video game,He is trying to play with an object in a video game,"the dog does not understand what is happening in reality, it is expected that the object exists. a bit like playing with a laser pointer.",,"really wants to beat it, but does not work.",1,"dog inflated, joyless.",first dog is calmer. first dog still largely playing. Second nervousness inflated.,"Unfortunately on this topic, my opinion is formed."
Belarus,60,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with a tablet to catch a spot (mouse),Dog tries to catch the ball as it seems,Dog playing in the game,,"The dog does not understand where are the spots and why they can not get it, and it's annoying",1,Dog and clearly irritated by unsuccessful attempts under stress,"The difference in the video there is in relation to dogs to play on the tablet. In the first case, the dog plays, coaches and their motor skills and hunting and playing, it is interesting, in the second case the dog is clearly perceived negatively by the game on the tablet, and it irritates her","I think there is potential for the development of communication dogs and owners, but as long as the existing programs and forms of these interactions are not perfect just to communicate with dogs, all programs created under the human, the dog on the other perceives them, and therefore is good from them n any When adapting programs to sobachemuvospriyatiyu pictures on the computer screen and the objectives of these programs, I think there may be some benefit"
Russia,51,dog Owner,the relationship of the animal to the plate,It pushes the object out of the field and then in the opposite direction on the field,"it really takes it, all her attention focused on the subject, we can assume that this is part of its leisure and exercise for paws",,it worked perfectly all,5,happy muzzle,"the first video beginner, the second a pro","I do not have a similar experience with my dog, I can assume that the benefit is."
Russia,40,beginner,playing dog,"""Catches"" the bright spot on the screen",she is interested,,see above,2,"panting
 . overexcited",there in the state of dogs,its not suppose to devices
Russia,31,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog and tablet,Trying to catch the ball on a plate,capture,,"not happy, angry",2,"Irritating, but not in a rage not panic","The first dog is experiencing positive emotions, negative second dog",My dog ​​just ignore any video any electronics
canada,54,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog is playing,trying to catch the light spot,the dog is very engaged and interested,,anxiety,2,the dog looks stressed,"first dog seem to be enjoying the game, the second does not","do not have any feedback, as i do not use the electronic games, only the interactive ones (Nina Ottosson games)"
Ukraine,32,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",fun for dogs,He plays with the light spot on the tablet,she was at a loss,,"passion, instinct",4,too she frantically tried to dig up something))),"the difference is that each dog is to take the game in their own way, one more calm, and even at the end of all moved away from the plate, and the second persistently played a very","as a disposable, trial and entertainment can be interesting, but no more, because next to the tablet, it moves less than the action game with a ball or other toys"
Russia,32,dog Owner,"It is shown as a dog jumping on the tablet, grinding on it with his paw.","Dog seeing the reflection of light trying to play, interested.",The dog is gradually becoming more and more interesting gameplay,,interest must,4,"Positive because the dog does this, it means there is interest","There is. The first video there is a sense that the process is more interesting dog. The dog thinks, trying to highlight the light moving paw, looking for him. There is clearly more beneficial because of the dog brain develops, it learns.","I believe that all the same dog better in nature, socializing with other dogs and fresh air"
Russia,59,dog Owner,The owner plays a laser pointer.,Dog tries to catch the laser bunny,"The dog is very keen on this process, and a little nervous",,excitation,2,I do not think it's good for the emotional state of the dog,It seems to me that in the first dog video is not so much the object of her interest vozbuzhdena.I one bunny. A second complete chaos and a very strong stimulation.,I believe that for animals as well as for a person that's not good.
Russia,46,dog Owner,Doggie plays with the point on the tablet,Trying to catch the point / ball (just as the red dot of a laser pointer),Dog puzzled,,discontent,1,Annoyed because it can not achieve the expected reschultat,"The first video - about the game and a positive attitude, enthusiasm, concentration.
 The second - the dog attempts to commit destructive actions, but does not get the expected results fast and angry.","There should be no negative to anything but positive, you can get another through contact with the owner, for example. I'm against ."
Latvia,63,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Trying to catch a dog paw moving a point on the tablet.,Attempts to catch in order to understand what it is.,I did not understand and has lost interest.,,Excitement.,5,Gambling hunting should rejoice.,The first dog did not understand how to play with the tablet. The second game with pleasure.,"If the dog is interested, why not. My, for example, are not interested in images that do not smell. The reaction is approximately the same as in the first video. Suitable, look, try to paw, sniff, well, maybe even try to turn the nose and see where there is something running. That's all. Even offended."
Moscow,25,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog Playing in the tablet,Playing,He studies and plays,,The interest and excitement,4,_,The second dog is too emotional,ABOUT
Russia,25,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing a game on the tablet,He is trying to catch a mouse or whatever runs,"excited, concentrated",,a strong desire to catch moving objects,3,Difficult to answer,"the first video the dog calmer and the number of MB's running things more exciting, I can not say I do not know these dogs.","I think this game is, at the level that the video does not benefit, razdraznivaet only excites (dogs on video exactly), maybe there is no process to complete."
Russia,29,"dogs all my life, courses, seminars and reading literature",Dog plays with the tablet on the semblance of a laser pointer,Playing (hunts point),"The dog is excited, trying to catch the goal",,Irritation,2,"I think this dog is no longer enjoys unpretentious-pointing legs to a point on the screen, but already rather angry, stuck out her tongue against overvoltage and continues to kill goal","In the first video plays in the dog measured proposed to her game, not very excited povilivaet tail and falls on the foot. In the second video, the dog is already in that condition when it can start to show aggression due to the inability to remove stimulus","My dog ​​loves to watch me play in Candy crush sodaas.Regiruet to flicker elements of the game, sometimes poked his nose or paws"
Russia,26,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing the game on the tablet,"It responds to a moving image, trying to catch him","The dog in an excited, interested state, it is curious, she wants to know whether it is possible to catch the object and whether he is alive",,"Very strong agitation, irritation, desire violence and dissatisfaction from the ""invincibility"" of the object, stress",1,"Excitation instant grows, barely saw the dog plate, rapidly boils and no ends. That is, the dog is in a state of stress without apparent positive consequences and conclusions","There is a difference. In the first video the dog better understands the essence of the game, watching the object, adequately responds to it, and obviously gets pleasure from the game. The second video is a dog is in a state of great stress, behaves illogical, ineffective, in fact, she does not play, and trying to get rid of an unpleasant object. It is obvious that the difference in these videos is not the games themselves and the dogs: they obviously completely different mentality, and perhaps education.","I see three possible options for interaction with dogs tablets: an addictive and fun game, an absolute indifference or stress. This is due not so much by the games, but with a different mentality play. Therefore, I am sure that not all dogs such games can be useful (or at least harmless).
 In general, frankly speaking, I do not see much use in the games that were shown on the video (even for adequately reacting dogs). Since the dog can ""catch"" the moving point, enough to let a ray of sunlight, a beam of a laser pointer or a small ball. A dog can easily split the tablet during the game (even if it is accidentally dropped it on the floor) and seriously injure (and even a tablet - a piece expensive, not everyone can afford to risk screen or gadget itself). tablet is not in any way fit for large and medium dogs.
 What could be interesting - because it is the logical computer game, not just to catch the point, and to think it was necessary to solve the problem."
Russia,36,dog Owner,Dog Playing the game in tablet.,Squanders his psyche. IMHO,she plays,,Lack of understanding of what is happening,1,Answers above,"Yes there is, the second video further straining the psyche of a small living organism.",With his animals not to plan potzsi
Russia,53,dog Owner,"Dog plays with the light spot on the plate, but at the end of the video it is, in my opinion I lost interest :)","He plays with speck, trying to catch him",first wonder then loses interest,,"excitement, interest",5,she likes the process,"first dog might just more quiet, maybe this is the game it is not very interesting, the second dog is more emotional, and picture on the plate it gets larger, more dynamic or something ...","I have a labrador and I do not venture to give him the tablet, but the cat (British) very happy to catch the mouse, but the butterfly he was not interested. I think that for dogs it can be fun, but in my case, the screen has to be armor-piercing :))"
Australia,36,dog Owner,"Dog tries to catch on the tablet screen, moving the white point",trying to catch a moving object,she is interested,,"great excitement and, in my opinion, it is under stress",2,I think this action creates a stress for her,"There is. I think the first video the dog shows interest, but I do not think that this interest will last a long time. The dog is in the equilibrated state. Then in the second video the dog looks perevozbuzhdёnnoy (as possessed) and I do not think that this action brings her favor, rather supports it in such perevozbuzhdёnnom and stress.","I do not have enough knowledge and experience to express their opinion today. And, probably, as usual, when there are any new technology, many people perceive them hostile. So I'll take it very skeptical, preferring real physical games for dogs (with their relatives or man)"
Cloveniya,thirty,dog Owner,Dog playing in the app on the tablet for cats. (Judging and title and video),Playing with the tablet,"She is interested and takes an image on the screen of a physical object, but my experience has shown that dogs such behavior is not typical.",,The senselessness of life and thirst digger,1,"She was tired, it's time to sleep, we once played in the street and nothing grew healthy!",In the first video the dog with a stable psyche.,"Dogs distract from the plate, bite cases and charging. Harmful there charging."
Russia,49,dog Owner,Dog playing with a moving object on the tablet,dog wants to catch (obtain) the subject,"beginning with curiosity, then disappointment, there is no satisfaction in the hunt.",,irritation,1,dog annoying happening,"the first disappointment in the end, the second stimulation","I think that no good, you need a live contact and satisfaction of the instincts"
Ukraine,61,dog Owner,The game on the tablet to the dog.,"Dog plays. Catches ""sunbeam"" which arbitrarily ""runs across the field.",It seems to me that she was nervous.,,"I think that she does not understand why he could not catch the fly, trying to do it again and again, but nothing happens and it is angry, nervous.",1,"I think this has a negative effect on her psyche. It must be the result in the games. If there is a midge, you need to catch it or it will fly away. If it is hidden behind the glass and the dog can not catch it, it seems to me, it will quickly lose interest in it, or begin to get nervous. And this is not a good emotion.","I think the only difference is in the nature of dogs. It seemed to me that the principle of the same game, just the dogs react differently to this stimulus, I would have called the game.","I do not support tablet games and for people, children. And even more dogs. I think it is better to buy the dog an extra ball or some other toy and find the time to play with her. The dog will be able to try on a tooth toy, run for it, play with, bark. There for it is clear. only positive emotions. Natural toys and games impressed me more than the virtual."
Russia,29,dog Owner,"Dog tries to catch the point, ""running"" across the screen aypada",Hunts :),Not understand the question - emotionally? Or how?,,"It seems as if the confusion and despair, it was too active, it tries to do something with the game, but without the positive emotions",1,"First impression - not because wags its tail during the game), and generally tense","In the first video - quite a relaxed game, the dog is trying to catch a point on the screen (such as a laser pointer). In the second - a dog in almost hysterical effort on the screen, but as I wrote earlier, I do not even understand the meaning of the game","It seems to me that the dog should play with a man - she sees the source of games / toys, enjoys both the game itself and to communicate with the person. And within the game with the tablet dog just fizzles out emotionally and all."
Russia,40,The expert / professional,"It is shown as a dog trying to influence the premeschayuschiysya object plate, catches him","Dog playing, looking at opereatora, skrebёt paw on the tablet, poked his nose in the plate, jumps from the plate and run against him","The dog is excited, just looking for support from opreatora",,"I suppose that it is very overexcited, her whole body tense, her uncomfortable",2,I put such an assessment because nothing positive in this situation is not for dogs.,"Yes, there is a difference. It lies in the fact that the first video dog relaxed, it controls our emotions and may interact with the environment. In the second video, the dog obviously tense and it is not comfortable, she does not notice his surroundings, not capture it controls emotion, behaves like a zombie.","At different dogs playing with the tablet affect differently. There are dogs who do not perceive such objects on the plates, they are not interested. There are dogs who are happy to be included in the game, but it can easily get distracted and switch to something else. There are dogs, for which these games are stressful situatsiey- they can not switch and strongly overexcited. I think this is the same as in humans. This is due to the overall situation in the dog and the man in the family environment. If dogs and humans in general, everything is in order, they are confident, positive, then with games on the tablet, they will be no problems. If there are problems, insecurity, chronic threat to the world of tablet games can capture so that only the virtual reality will exist for a dog or human."
Russia,37,dog Owner,Dog playing time with the subject,He is trying to catch a virtual toy,dog's interest to move objects on your tablet,,anxiety,4,dog Gambling,"the second video the dog meets some of the needs of the hunter, when a toy makes a sound, on the first video, the dog clearly perplexed when he can not catch the toy and raises the face to the host",I think virtual toys for dogs pointless and dangerous for dogs with an easily excitable type of nervous system
Russia,thirty,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays the game on the tablet,"Catches point on the screen: trying to bite, dig carefully watching when the point of hiding behind the plate edge and waits, when it is possible to attack again","Doggie keen on extracting the point, at some point she looks at the host (I suspect that it is waiting for help from him, instructions or any other participation in hunting). At the end of the disappointed dog throws a lost cause and leaves",,"In this video, the dog is very excited as the upcoming game, and by the process of the game, a passion rushes to dig, but occasionally distracted (take breath?) And again rushes to dig",4,This dog loves this game and is looking forward to,"Yes, the first dog, first played with enthusiasm, and then waits for a host response, and when he realizes that it is impossible to dig out - out to look more achievable goals. In the second video the dog enjoys the digging process itself, although it looks overexcited","Some of the animals (I think, especially adults) is not interested in principle, such a hunt, because will not find the final goal of the game and quickly lose interest. Part - may very hornier, and if very bad dog calms down, then it will have to ugomanivat. I do not calm the animals, preferring to slow down the excitement in the process of occurring. However, like dogs distraction tool by which that should not be done, this game will come in handy when the animal of interest. I like to connect to host a game, in addition to digging, to include in the communication and promotion of the game (the first video just shows the expectation of participation). As with humans tablet games can both help in the development and hurt: here the choice must do the hosts, taking into account individual characteristics of the dog. But the larger the set of games and entertainment, the more useful and interesting life together with pets :) my dog, as a puppy with me watched the video on sobachachemu education (but excitable, so dig I will not let him), his older brother still then watching television when the show dogs, and runs them in the direction of the window to poohranyat, with the tablet, as well as to the games on the extraction of food he is quite indifferent. However, adult mongrel girl in our family ignores both TV and the tablet although it was invited several times to dig in children's games, she prefers only real game. The cat is in the family regularly selects tablet for children to catch balls on the screen."
Russia,31,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing in aypad,chasing painted ball,"keen, rejoices",,intently,5,I think she likes,"In the first chasing only for the ball, in the second of the prints, the first more than happy","If the dog is a tablet, more energy will go to him, less than a run and a walk."
Russia,55 years,Veterinarian,Dog tries to catch the ball,He is trying to catch a ball,Trying to catch the ball,,Annoyed!,1,My answer!,The strengthening of irritation!,For animal than these toys?
Russia,47,dog Owner,The dog and the plate (?) Or some special toy for dogs,He is trying to catch the ball.,She is trained.,,she was at a loss,3,"because the dog will not be able to catch the thing on the plate, if she loses too long, simply overtired","is, in the first game is pleasant to the animal, and the second is his overexcited","I think that any game is good in moderation, as well as the rest."
Russia,50,No,Obachka plays as if it were an insect,catches speck,Playing,,Excitation,3,While it has no emotions Neg,In excitation,I would not let pet gadgets
Russia,24,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog playing with an object, like a sunbeam.",Dog plays with the object on the screen.,It's interesting.,,The desire to get the object out of the screen,2,Perhaps the dog feels partially positive emotions. If the excitement of the gaming machine can be considered as such :).,The first dog is studying the object and its reaction on the second dog is immersed in the catching object.,"I would suggest that your dog such a game, but it would be betrayed for a treat captured objects or else reinforced the game prize in reality. It would be interesting to have these games on the big screen. Some simple tasks-razvlekalki for the dog and the owner, touch buttons, and so on."
Israel,56 years,dog Owner,York Show as playing with a tablet.,Dog tries to drive the virtual ball.,Dog plays.,,Aggression.,1,Not useful to arouse aggression in the animal.,"There is a difference in the behavior of the animal, in the first case of a dog enjoying the second rages.","My fee is never used in electronics and I do not see the need to teach her to do, in my opinion a walk and play with the ball more useful than elektronnomaniya."
Russia,47,The expert / professional,dog interaction with a computer game,Trying to catch the image.,It gets the emotions and the brain strain.,,She is nervous.,1,Nervousness affects the dog's condition negatively.,There is a difference. In the state of dogs.,"I think it might be helpful, but not every game and not any dog"
RF,36,dog Owner,"The hosts have fun, including a virtual dog toy, which she will never be able to catch.",Catches the ball on the tablet screen,"Involved in the game, worried hunts",,"disturbed, aggressive",1,unsuitable for a dog toy,"the first video, looks like a dog for the first time faced with this toy",I consider them harmful
Russia,28,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",dog playing in a Human game on the tablet,He is trying to catch a circle,"plays, keen",,"excitement, interest",4,"maybe she really ineteresno at this particular moment, but when she realizes what's what - will lose interest in the game. it is generally possible inetersno only small dogs. I can not imagine how my Huskies will play a primitive game.",Video shows the different type of games. and demonstrated different reaction (degree of excitation) small breeds.,"I think playing with tech toys have longer to develop dogs than exciting. Forcing to concentrate, to think, to improve skills. Those. be more than teaching.
 Just I came up with this game. Man hides tablet / phone, tablet, which publishes the zvuki- squeaking mouse / master's voice (for example) is looking for a dog that is receiving a treat. -I think it's a dog will develop, concentrate."
Israel,55 years,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",This video shows the electronic toy on the tablet - a moving luminous spot,Dog plays with the moving object,"The dog does not realize that the toy and electronic (perhaps if I understood correctly), the movement of the spot depends on the movement of the dog's paws. Dog plays just as well as she would play with a ball in the room.",,"Dog tired and irritated and wanted to get out of the ""vicious circle"". From my point of view, she does not enjoy.",2,"I put 2 and not 1 because, in part, the dog is still busy with something instead of outright boredom.",I think that following the flashing spot (on the first video) is for the dog more enjoyable entertainment than uninterrupted printing their own paws on the second video. But I am concerned about the issue of health at utykanii muzzle loading the plate in the first video.,"Since I myself is not a fan of computer games, then it is difficult to see any benefit in them for animals. It seems to me that much more useful for dogs live communication with relatives / home / other animals. Electronic toys is a necessary surrogate activity. I do not understand what they develop than helpful. Is it only the opportunity to take the animal in the absence of the owners? But it is bad that the dog is a few hours of peace and quiet? And if it is bad, whether it will entertain electronic games? I see my dogs, accustomed to a particular mode of the day, strive even in our presence in the morning as usual to sleep. But in the evening, even when home busy with something, the dog is asked to play with them. From this I conclude that this behavior is comfortable for them. I have more questions than answers. It may therefore be related to the entertainment tablet I distrustful to negative."
Estonia,60,dog Owner,"Terrier playing with a tablet, trying to catch the ball.",Tracks and tries to catch the ball,Useful,,Dogs like to venture.,5,The dog shows interest.,Hardly ever.,"Dog wondering if she really is busy, for it is an additional entertainment until the owners are not at home. The idea useful."
Russia,44,I'm going to start,Dog and tablet,"The dog was interested in a certain moving image on the tablet, it is trying to get it to play.",She puzzled.,,Excitement.,3,"I think the dog is already familiar with this game, knows immediately understand what to expect from this toy. But in this game there is some irritation, anger.","For the first game of unfamiliar dogs, she did not understand yet what it is and what to do with him, and the other dog was already dealing with this thing, and adapt himself to play with her.","I do not have experience, unfortunately, I can not share any observations."
Russia,43,dog Owner,"The tablet, probably the game for cats, dogs","Playing, he catches a ray.",Dogs like she was interested.,,great interest,4,"Very fast, more aggressive moves.","In the second video the dog engages in ""damage to property"" because of the aggressive ""digging"".",If the tablet helps to take the dog's head - this is good. If you come up with something so that the tablet could have something to teach the dog - is just great))) dog brains have to work. While physical exercise and never excessive for a pet dog.
Russia,41,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays with the light spot on the surface,"Dog plays, trying to catch a moving speck","her fun, she plays",,"Dog tired, but can not give up his occupation - because there is someone who may or dangerous must be caught",2,"It is unlikely that this activity she liked. Language out, would go to drink, but can not - there is some kind of garbage, which is sure to catch. If it was a man, I would say - a delusion.",The first video leaves a pleasant impression - a healthy animal fun playing for fun. The second - a painful impression. I want to stop it.,"I think that there are some games or screen savers on the tablet, which can harm the nervous system of dogs. They are not natural stimuli - are accompanied by strange sounds, perhaps similar to the sounds of puppies; strange look strange for a dog to respond to her touch. Perhaps we can trigger a dog's nervous breakdown, because apart from the picture, there is also a sound and light ..."
Russia,32,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing with tablet,Dog tries to get a glowing ball that moves on the tablet screen,"The dog is interested in a luminous toy, and believes that it is possible to catch and pull out of the ""box"", when the ball comes off the screen",,overexcitement,1,See above,"In the first case, the aim of dog passionate about the game and focuses, in the second, just nervously aimlessly and clatter across the screen, apparently hoping that someday dig up goals",I do not believe that such fun useful for dogs
Russia,48,dog Owner,Dog playing with tablet,Trying to catch the bright spot on the screen,"Passionate about the process, it does not seem much excited",,Not much seems adequate,3,"A dog with one hand like Processes for he grabs her entirely, on the other hand it seems that she is losing control of the situation",The dog's reaction to the game,This type of game seems too innovative :)
Israel,60,dog Owner,light point moves randomly on the screen of the tablet,"It looks like she is playing with this point. she would catch her, but rather trying to understand - what is it and what to do","she zaiteresovana a little discouraged, perhaps even concerned",,possible distraction,5,"Dog shows no signs of aggression, she's just playing","there is a difference - the first video dog toy explicitly discouraged, the second - it actively plays","I find it hard to say anything on the basis of 2 videos. I think that my dog ​​does not pay attention to the tablet and what is happening there. the dog can not share the real world and the virtual. it can respond to barking dogs barking on the TV. I think that dogs communicate with a computer yavdyaets very exciting and tiring factor, so I'm not sure if this is helpful to the dogs."
Russia,64goda,dog Owner,The dog is looking at something. shown that the tablet,responsive to frames,She became interested in responding to the video,,"I do not know, I suppose, rather positive.",5,"Actively moving, not growling","1st - a reaction to the video, the 2nd - some training","Were not able to check on your dog, it seems to me that a lot of developments in the conventional technique, the more familiar to me."
Ukraine,44,dog Owner,"dog, get interested in a luminous point",He is trying to catch a bright spot,"It is friendly, interested, puzzled looks at relieving this video",,"curiosity, the desire, the need to increase their efforts",4,excessive excitement,practically no difference in the second video the dog too excited,I think interaction can be positive only if the host involvement in the process. You need to temporarily limited interaction and competent switch to another activity after interaction
Russia,36,dog Owner,"tablet, dog",plays,she was interested,,overexcitement,2,too much emotion,"ie, the first dog is moderately interesting, and the second in a state of hysteria",I did not think
Russia,thirty,dog Owner,Dog tries to play with iPads,"Trying to catch the ball, which appears and disappears on the screen aypada","The dog seems like a real ball, she wants to catch him in the end leaves.",,Excitation,2,"It seemed that he was not playing, no interest, but rather annoyed, like a dog that digs aimlessly rather instinctively","In the first video the dog seems to be more contented and lively, responsive to what is happening in the second - was overexcited by their activities, quite stupid and straight.",I have never had the experience of playing with his dog gadgets. I'm not sure I buy your dog something special for the game. It is possible to study if the results are guaranteed to be superior to conventional methods.
Russia,28,"officer / instructor in KC, dog owner",Dog care ball on a plate,He plays with the ball,enjoys the game,,irritability,2,Difficult to answer,"the first video the dog is positive, and plays, the second dog is a dog is angry",Difficult to answer
Ukraine,26,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog Interacting with a new toy.,"Dog tries to catch a circle. Playing quietly enough, with interest, but without unnecessary overstimulation. At the end of the game is very easy finishes.","It is concerned, but the level of excitation becomes unnecessary. I think she realized that it was some kind of a new game, and finally just decided to escape to something else, because after lengthy attempts result (caught circles) still was not.",,"Excitement, fatigue.",3,"I think for her it is somewhere between a positive interesting occupation, and occupation, which is exhausting you, and the result is not.","The difference is that the York plays quite calmly, deliberately, with interest, and the poodle is very overexcited, a little worn, and perhaps this is not a game, but some fixation on something.","I think initially you need to look at how easy the dog can break away from the game. If it is easy, these active games can be a good distraction for her. If the dog takes all ""for real"" include hunting behavior, shaking, overexcited, then it is better to come up with a different game with the tablet. For example, some intellectual with the issuance of delicacies from the host (or from another device connected automatically).
 The idea to leave the plates on the absence of the owners, I like it. Then the dog will have a chance not to miss much of the house. But in this case you will need to install them to turn off automatically after a certain time of the game. Again, the dog is not too overexcited and it does not matter to her detriment. How to allocate the time of a possible electronic device activity, the owner can decide for himself, guided by their dog's behavior during the game. Time for rest, through which the dog can go back and turn it on, should also be set individually.
 Benefits may be possible to discharge dogs additional intellectual activity, and as a result, it can improve the process of getting rid of the problems of behavior in which the animal is also involved excessive arousal."
Latvia,47,The expert / professional,dog interaction with electronic toy,Playing in the hunt,"Trying to catch the ""bunny"" because neither of which is impossible, it loses interest and leaves.",,"Strong agitation, excitement, I think it would be a disappointment and frustration of what is physically not possible to complete the hunt and capture of ""slew-by eating"" production",2,"it seems that it is necessary to obtain a physical object, to complete the game in the hunt.",the difference in the manifestation of the hunting instinct in dogs. York calmer and poodle perevozbuzhdёn and it would be difficult to calm down,"I can not say anything with confidence, but my opinion - there's nothing like a real live game for the dog. The tablet does not allow complete complex hunting behavior. Getting there - he tracked down and started hunting and persecution in the form of digging, and then emptiness - no grip, killing, utaskivaniya the burrow, eating."
Russia,27,The expert / professional,dog Recreation & Activities,He is trying to get a bright spot,+ The mining excitement instinct,,"a dog's emotions are going wild, she tries to calm down",5,"she gets pleasure from what is happening, but as a whole suffers as a drug addict gets from the buzz immediately after the dose, and the rest of the growing overcomes breaking meal.","and here and there the dogs enjoy, but in one case it is a game, a dog in a calm state, otherwise the dog is in an unbalanced state and tries to discharge",accept only the tools that will help to cope with loneliness dog
Russia,46,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Demonstration of electronic games for dogs.,Dog plays.,"Something similar to the games with a laser pointer. I do not recommend, because you can dogs perevozbudilsya NA.",,Excitation strong,3,"If this situation is repeated, there may be major problems in behavior",In the second video over excited dog,Nothing good
Russia,37,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","A dog who tries to catch the paw ""sunbeam""",He is trying to catch the light paw,"She did not manage to catch the light, she was bored and she goes",,She is keen and gambling,3,I do not know how to recognize the dog emotions,The presence of feedback actions on the dogs,"I do not think this is useful. Already a ball in any home is always there! A ""sticky"" on the plates is harmful to children and dogs.
 Now, if the computer is trained dogs to something more useful, the team filed or gestures portrayed people, then still permissible. A ""blunt swotting"" harmful, I think. Yes, and such gambling loop. God forbid begging tablet starts (again as children)."
Russia,31,"For a basic understanding of the behavior of dogs (online courses, reading of literature)","Dog tries to catch the moving point, which sees on the screen. She does not understand that this is not the real point.",He is trying to catch a moving point,"The dog is excited, and trying to apply it all the known techniques to produce a moving point",,stress,1,For it is not clear what is happening,I think - no. It's just more emotional of the Dogs,I can not imagine a situation in which it might be useful for dogs
Russia,25,beginner,As a dog playing on the tablet,Dog running around trying to catch a mouse,She does not understand why you can not catch a moving object,,rampage,3,I do not know,"In the first video the dog calmer and adequate, showing a moderate curiosity. In the second video, the dog very excited, furiously plays.",I do not see the benefit.
Russia,27,The expert / professional,The electronic version of the laser pointer.,Trying to catch a moving point of light.,"Dog included in the game, overexcited, she wonders why she can not get the point.",,"Similarly to the video 1. Plus, deterioration - there is a complete lack of control, strong excitement.",1,Similarly to the video 1.,"Perhaps the only difference is the general state of two different animals, especially their nervous system.","I think unuseful attempt to take the dog with the help of the tablet. Dog - a social animal who needs communication, development, training and games. If a person is too lazy to give it all to the dog and he wants to take her plate, he should completely abandon the acquisition of this animal. Nothing useful in this. Another way to ""kill"" time for the lazy, unwilling to engage in anything the hosts. For dogs such games are not any good. For dogs with a weak nervous system such games can be extremely harmful at all."
Israel,27,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog playing,He is trying to catch the laser / point on the tablet,"it intresno, wags its tail",,"selelo her, but she was a little annoyed",4,she was a little annoyed,second dog more irritable,"it is interesting that in addition to games, you can do with it"
Russia,50,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Dog plays with the image on the tablet (hard to see),He is trying to catch the image of a paw,the dog is excited and scared,,overexcitement,2,I do not know,"Yes there is, the first dog is more comprehended, but frightened, second-overexcited, but not scared",I think you're out there playing the fool out of boredom.
Russia,19,The expert / professional,Dog playing,Playing,Excitation,,All the same.,1,All the same.,Perhaps the second dog stronger interest and more excitement,"Tablets for humans. This dog does not bring any benefit. Dogs need active real game with a companion (another dog or human). The habit of spoiling things + host excitement that will not ""go"" on the background of this, again, dogs can spoil things and do not behave quite right"
Ukraine,28,"For a basic understanding of the behavior of dogs (online courses, reading of literature)",Videos are very small in size and hard to see. It dog playing a game on the tablet,Dog tries to catch the teeth and claws the ball,"Dog interested ""prey"", inquisitive, body tense, sometimes bounces off the object of ""hunting""",,I do not see nothing but excitement,2,"it is unlikely that the dog gets great pleasure from the ""murder"" of mice",The first dog is a game more suitable than the other. It is difficult to imagine what benefit has brought the game to the plate of the second dog,"I think that the potential for a large tablet. For example, you can use them for educational games with the dog. But all of these games have to be matched to the dog's temperament, strictly dosed and held involving human"
